index,name,isin,url,keyword,sheet
2,3i Group Ord,GB00B1YW4409,https://www.ajbell.co.uk/market-research/LSE:III,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
7,Aberdeen New India Investment Trust,GB0006048770,https://www.ajbell.co.uk/market-research/LSE:ANII,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
12,abrdn European Logistics Income PLC,GB00BD9PXH49,https://www.ajbell.co.uk/market-research/LSE:ASLI,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
17,Africa Opportunity Ord,KYG012921535,https://www.ajbell.co.uk/market-research/LSE:AOF,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA and SIPP",Investment
22,Alina Holdings Plc,GB00B1VS7G47,https://www.ajbell.co.uk/market-research/LSE:ALNA,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP and Dividend reinvestment",Investment
27,Amedeo Air Four Plus,GG00BQKNKR70,https://www.ajbell.co.uk/market-research/LSE:AA4,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, SIPP and Dividend reinvestment",Investment
32,Ashoka India Equity Investment Ord,GB00BF50VS41,https://www.ajbell.co.uk/market-research/LSE:AIE,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
37,AVI Global Trust Ord,GB00BLH3CY60,https://www.ajbell.co.uk/market-research/LSE:AGT,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
42,Baillie Gifford Shin Nippon Ord,GB00BFXYH242,https://www.ajbell.co.uk/market-research/LSE:BGS,"This share can be held in a Dealing account, Stocks and shares ISA, Lifetime ISA, JISA, SIPP, Regular investment and Dividend reinvestment",Investment
47,Bankers Ord NZD,GB00BN4NDR39,https://www.ajbell.co.uk/market-research/NZSE:BIT,,Investment
